
2026-03-05 13:00:12.324 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\00_06_02_PS_CALENDAR_SHIFT 车间班次编码_130012_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\00_06_02_PS_CALENDAR_SHIFT 车间班次编码_130012_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_02_PS_CALENDAR_SHIFT 车间班次编码
2026-03-05 13:00:12.326 [INFO] [T2] [13:00:12] [同步]       页面：「00_06_02_PS_CALENDAR_SHIFT 车间班次编码」 → 28 个内容块 [12/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_02_PS_CALENDAR_SHIFT 车间班次编码
2026-03-05 13:00:13.670 [INFO] [T2] [13:00:13] [写入完成] 「00_06_01_PS_CALENDARS 日历编码」 24 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_01_PS_CALENDARS 日历编码
2026-03-05 13:00:14.130 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398110} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段
2026-03-05 13:00:14.272 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398110}, xmlLength=109761 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段
2026-03-05 13:00:14.287 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段_130014_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段_130014_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段
2026-03-05 13:00:14.288 [INFO] [T2] [13:00:14] [同步]       页面：「00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段」 → 28 个内容块 [13/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段
2026-03-05 13:00:16.061 [INFO] [T2] [13:00:16] [写入完成] 「00_06_02_PS_CALENDAR_SHIFT 车间班次编码」 28 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_02_PS_CALENDAR_SHIFT 车间班次编码
2026-03-05 13:00:16.594 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398111} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历
2026-03-05 13:00:16.687 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398111}, xmlLength=85364 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历
2026-03-05 13:00:16.701 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历_130016_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历_130016_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历
2026-03-05 13:00:16.703 [INFO] [T2] [13:00:16] [同步]       页面：「00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历」 → 26 个内容块 [14/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历
2026-03-05 13:00:17.800 [INFO] [T2] [13:00:17] [写入完成] 「00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段」 28 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_03_PS_CALENDAR_SHIFT_TEMPLATE 班次时段
2026-03-05 13:00:21.187 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398112} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_07_PS_CUSTOMER 客户
2026-03-05 13:00:21.344 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398112}, xmlLength=111330 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_07_PS_CUSTOMER 客户
2026-03-05 13:00:21.365 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_07_PS_CUSTOMER 客户_130021_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_07_PS_CUSTOMER 客户_130021_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_07_PS_CUSTOMER 客户
2026-03-05 13:00:21.366 [INFO] [T2] [13:00:21] [同步]     页面：「01_07_PS_CUSTOMER 客户」 → 29 个内容块 [15/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_07_PS_CUSTOMER 客户
2026-03-05 13:00:21.441 [INFO] [T2] [13:00:21] [写入完成] 「00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历」 26 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_06_PS_CALENDARS 工作日历/00_06_05_PS_CALENDAR_RES_WORK_TIMES 工作日历
2026-03-05 13:00:23.356 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398113} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_08_PS_SUBINVENTORIES 仓库
2026-03-05 13:00:23.442 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398113}, xmlLength=78860 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_08_PS_SUBINVENTORIES 仓库
2026-03-05 13:00:23.456 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_08_PS_SUBINVENTORIES 仓库_130023_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_08_PS_SUBINVENTORIES 仓库_130023_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_08_PS_SUBINVENTORIES 仓库
